,Borough,2010 Census Tract Number:,Total Low-Income Units:
719,BROOKLYN,249.0,3.0
720,BROOKLYN,267.0,3.0
721,BROOKLYN,249.0,5.0
722,BROOKLYN,59.0,34.0
723,BROOKLYN,433.0,42.0
724,BROOKLYN,443.0,35.0
725,BROOKLYN,337.0,17.0
726,BROOKLYN,323.0,2.0
727,BROOKLYN,800.0,2.0
728,BROOKLYN,323.0,2.0
729,BROOKLYN,325.0,12.0
730,BROOKLYN,804.0,3.0
731,BROOKLYN,419.0,5.0
732,BROOKLYN,421.0,16.0
733,BROOKLYN,395.0,5.0
734,BROOKLYN,417.0,5.0
735,BROOKLYN,405.0,9.0
736,BROOKLYN,395.0,8.0
737,BROOKLYN,431.0,6.0
738,BROOKLYN,417.0,4.0
739,BROOKLYN,399.0,7.0
740,BROOKLYN,415.0,5.0
741,BROOKLYN,415.0,5.0
742,BROOKLYN,1134.0,52.0
743,BROOKLYN,289.0,2.0
744,BROOKLYN,289.0,11.0
745,BROOKLYN,289.0,3.0
746,BROOKLYN,289.0,6.0
747,BROOKLYN,289.0,1.0
748,BROOKLYN,261.0,1.0
749,BROOKLYN,379.0,47.0
750,BROOKLYN,277.0,5.0
751,BROOKLYN,265.0,3.0
752,BROOKLYN,277.0,2.0
753,BROOKLYN,267.0,2.0
754,BROOKLYN,249.0,3.0
755,BROOKLYN,267.0,3.0
756,BROOKLYN,383.0,6.0
757,BROOKLYN,295.0,12.0
758,BROOKLYN,293.0,6.0
759,BROOKLYN,291.0,44.0
760,BROOKLYN,215.0,14.0
761,BROOKLYN,77.0,6.0
762,BROOKLYN,110.0,16.0
763,BROOKLYN,219.0,27.0
764,BROOKLYN,1126.0,40.0
765,BROOKLYN,507.0,46.0
766,BROOKLYN,908.0,37.0
767,BROOKLYN,281.0,72.0
768,BROOKLYN,213.0,3.0
769,BROOKLYN,325.0,2.0
770,BROOKLYN,796.01,1.0
771,BROOKLYN,876.0,5.0
772,BROOKLYN,804.0,4.0
773,BROOKLYN,802.0,6.0
774,BROOKLYN,321.0,7.0
775,BROOKLYN,327.0,1.0
776,BROOKLYN,321.0,2.0
777,BROOKLYN,323.0,2.0
778,BROOKLYN,1220.0,99.0
779,BROOKLYN,375.0,6.0
780,BROOKLYN,385.0,3.0
781,BROOKLYN,305.0,51.0
782,BROOKLYN,289.0,16.0
783,BROOKLYN,417.0,39.0
784,BROOKLYN,387.0,45.0
785,BROOKLYN,1098.0,54.0
786,BROOKLYN,505.0,23.0
787,BROOKLYN,295.0,26.0
788,BROOKLYN,283.0,50.0
789,BROOKLYN,53.0,19.0
790,BROOKLYN,53.0,20.0
791,BROOKLYN,229.0,71.0
792,BROOKLYN,275.0,5.0
793,BROOKLYN,383.0,5.0
794,BROOKLYN,383.0,4.0
795,BROOKLYN,275.0,3.0
796,BROOKLYN,297.0,6.0
797,BROOKLYN,383.0,6.0
798,BROOKLYN,275.0,6.0
799,BROOKLYN,267.0,6.0
800,BROOKLYN,251.0,9.0
801,BROOKLYN,421.0,3.0
802,BROOKLYN,1220.0,82.0
803,BROOKLYN,377.0,4.0
804,BROOKLYN,375.0,4.0
805,BROOKLYN,377.0,3.0
806,BROOKLYN,563.0,32.0
807,BROOKLYN,357.0,24.0
808,BROOKLYN,1208.0,38.0
809,BROOKLYN,261.0,26.0
810,BROOKLYN,579.0,15.0
811,BROOKLYN,265.0,14.0
812,BROOKLYN,1208.0,35.0
813,BROOKLYN,303.0,33.0
814,BROOKLYN,245.0,37.0
815,BROOKLYN,245.0,3.0
816,BROOKLYN,423.0,6.0
817,BROOKLYN,429.0,2.0
818,BROOKLYN,423.0,3.0
819,BROOKLYN,391.0,4.0
820,BROOKLYN,421.0,4.0
821,BROOKLYN,317.02,87.0
822,BROOKLYN,1220.0,101.0
823,BROOKLYN,249.0,3.0
824,BROOKLYN,245.0,5.0
825,BROOKLYN,229.0,6.0
826,BROOKLYN,267.0,5.0
827,BROOKLYN,269.0,2.0
828,BROOKLYN,269.0,2.0
829,BROOKLYN,269.0,4.0
830,BROOKLYN,227.0,5.0
831,BROOKLYN,227.0,3.0
832,BROOKLYN,241.0,42.0
833,BROOKLYN,219.0,31.0
834,BROOKLYN,425.0,59.0
835,BROOKLYN,505.0,13.0
836,BROOKLYN,231.0,26.0
837,BROOKLYN,359.0,34.0
838,BROOKLYN,381.0,3.0
839,BROOKLYN,381.0,6.0
840,BROOKLYN,383.0,2.0
841,BROOKLYN,381.0,4.0
842,BROOKLYN,381.0,6.0
843,BROOKLYN,381.0,6.0
844,BROOKLYN,281.0,63.0
845,BROOKLYN,453.0,2.0
846,BROOKLYN,453.0,3.0
847,BROOKLYN,313.0,7.0
848,BROOKLYN,315.0,2.0
849,BROOKLYN,353.0,7.0
850,BROOKLYN,313.0,2.0
851,BROOKLYN,317.01,6.0
852,BROOKLYN,315.0,5.0
853,BROOKLYN,339.0,5.0
854,BROOKLYN,315.0,3.0
855,BROOKLYN,311.0,6.0
856,BROOKLYN,59.0,60.0
857,BROOKLYN,1122.0,4.0
858,BROOKLYN,1132.0,10.0
859,BROOKLYN,1126.0,4.0
860,BROOKLYN,1126.0,6.0
861,BROOKLYN,1128.0,3.0
862,BROOKLYN,1104.0,5.0
863,BROOKLYN,551.0,3.0
864,BROOKLYN,557.0,4.0
865,BROOKLYN,547.0,6.0
866,BROOKLYN,9.0,64.0
867,BROOKLYN,383.0,4.0
868,BROOKLYN,381.0,6.0
869,BROOKLYN,275.0,5.0
870,BROOKLYN,1202.0,2.0
871,BROOKLYN,1198.0,2.0
872,BROOKLYN,277.0,35.0
873,BROOKLYN,375.0,6.0
874,BROOKLYN,375.0,6.0
875,BROOKLYN,377.0,5.0
876,BROOKLYN,229.0,2.0
877,BROOKLYN,245.0,3.0
878,BROOKLYN,249.0,6.0
879,BROOKLYN,247.0,12.0
880,BROOKLYN,269.0,3.0
881,BROOKLYN,245.0,6.0
882,BROOKLYN,277.0,22.0
883,BROOKLYN,293.0,24.0
884,BROOKLYN,293.0,23.0
885,BROOKLYN,277.0,23.0
886,BROOKLYN,379.0,5.0
887,BROOKLYN,375.0,2.0
888,BROOKLYN,381.0,3.0
889,BROOKLYN,265.0,7.0
890,BROOKLYN,293.0,2.0
891,BROOKLYN,299.0,3.0
892,BROOKLYN,377.0,3.0
893,BROOKLYN,279.0,2.0
894,BROOKLYN,391.0,93.0
895,BROOKLYN,1198.0,12.0
896,BROOKLYN,547.0,139.0
897,BROOKLYN,340.0,308.0
898,BROOKLYN,328.0,116.0
899,BROOKLYN,342.0,332.0
900,BROOKLYN,1122.0,5.0
901,BROOKLYN,1128.0,3.0
902,BROOKLYN,1104.0,3.0
903,BROOKLYN,1126.0,4.0
904,BROOKLYN,1128.0,6.0
905,BROOKLYN,1124.0,5.0
906,BROOKLYN,1126.0,4.0
907,BROOKLYN,245.0,3.0
908,BROOKLYN,249.0,6.0
909,BROOKLYN,247.0,12.0
910,BROOKLYN,269.0,9.0
911,BROOKLYN,810.0,172.0
912,BROOKLYN,277.0,230.0
913,BROOKLYN,277.0,26.0
914,BROOKLYN,277.0,28.0
915,BROOKLYN,277.0,25.0
916,BROOKLYN,277.0,25.0
917,BROOKLYN,277.0,30.0
918,BROOKLYN,393.0,59.0
919,BROOKLYN,1192.0,4.0
920,BROOKLYN,277.0,116.0
921,BROOKLYN,277.0,27.0
922,BROOKLYN,221.0,48.0
923,BROOKLYN,1144.0,159.0
924,BROOKLYN,377.0,4.0
925,BROOKLYN,377.0,5.0
926,BROOKLYN,245.0,2.0
927,BROOKLYN,291.0,94.0
928,BROOKLYN,281.0,3.0
929,BROOKLYN,397.0,62.0
930,BROOKLYN,1124.0,5.0
931,BROOKLYN,1126.0,4.0
932,BROOKLYN,425.0,84.0
933,BROOKLYN,551.0,25.0
934,BROOKLYN,1130.0,47.0
935,BROOKLYN,1130.0,31.0
936,BROOKLYN,501.0,64.0
937,BROOKLYN,169.0,200.0
938,BROOKLYN,181.0,85.0
939,BROOKLYN,339.0,152.0
940,BROOKLYN,423.0,27.0
941,BROOKLYN,916.0,60.0
942,BROOKLYN,476.0,50.0
943,BROOKLYN,77.0,100.0
944,BROOKLYN,425.0,38.0
945,BROOKLYN,481.0,44.0
946,BROOKLYN,460.0,50.0
947,BROOKLYN,112.0,112.0
948,BROOKLYN,259.01,33.0
949,BROOKLYN,315.0,6.0
950,BROOKLYN,315.0,4.0
951,BROOKLYN,896.0,3.0
952,BROOKLYN,315.0,2.0
953,BROOKLYN,317.01,6.0
954,BROOKLYN,315.0,25.0
955,BROOKLYN,313.0,10.0
956,BROOKLYN,920.0,58.0
957,BROOKLYN,68.0,60.0
958,BROOKLYN,441.0,149.0
959,BROOKLYN,542.0,120.0
960,BROOKLYN,41.0,47.0
961,BROOKLYN,916.0,4.0
962,BROOKLYN,916.0,9.0
963,BROOKLYN,922.0,3.0
964,BROOKLYN,916.0,3.0
965,BROOKLYN,894.0,3.0
966,BROOKLYN,916.0,3.0
967,BROOKLYN,898.0,5.0
968,BROOKLYN,894.0,3.0
969,BROOKLYN,916.0,3.0
970,BROOKLYN,922.0,3.0
971,BROOKLYN,916.0,4.0
972,BROOKLYN,916.0,5.0
973,BROOKLYN,922.0,5.0
974,BROOKLYN,275.0,5.0
975,BROOKLYN,916.0,4.0
976,BROOKLYN,896.0,3.0
977,BROOKLYN,916.0,3.0
978,BROOKLYN,922.0,5.0
979,BROOKLYN,247.0,133.0
980,BROOKLYN,141.0,48.0
981,BROOKLYN,409.0,3.0
982,BROOKLYN,409.0,3.0
983,BROOKLYN,411.0,2.0
984,BROOKLYN,411.0,5.0
985,BROOKLYN,411.0,4.0
986,BROOKLYN,409.0,9.0
987,BROOKLYN,415.0,5.0
988,BROOKLYN,421.0,34.0
989,BROOKLYN,1208.0,1062.0
990,BROOKLYN,1208.0,1095.0
991,BROOKLYN,263.0,94.0
992,BROOKLYN,1164.0,6.0
993,BROOKLYN,367.0,3.0
994,BROOKLYN,369.0,4.0
995,BROOKLYN,367.0,4.0
996,BROOKLYN,1124.0,83.0
997,BROOKLYN,342.0,542.0
998,BROOKLYN,555.0,95.0
999,BROOKLYN,920.0,371.0
1000,BROOKLYN,231.0,40.0
1001,BROOKLYN,916.0,53.0
1002,BROOKLYN,387.0,50.0
1003,BROOKLYN,1220.0,505.0
1004,BROOKLYN,1156.0,102.0
1005,BROOKLYN,33.0,73.0
1006,BROOKLYN,273.0,90.0
1007,BROOKLYN,299.0,116.0
1008,BROOKLYN,924.0,124.0
1009,BROOKLYN,924.0,126.0
1010,BROOKLYN,249.0,51.0
1011,BROOKLYN,491.0,150.0
1012,BROOKLYN,419.0,4.0
1013,BROOKLYN,401.0,3.0
1014,BROOKLYN,411.0,5.0
1015,BROOKLYN,427.0,3.0
1016,BROOKLYN,411.0,5.0
1017,BROOKLYN,411.0,4.0
1018,BROOKLYN,411.0,3.0
1019,BROOKLYN,411.0,2.0
1020,BROOKLYN,339.0,143.0
1021,BROOKLYN,314.0,105.0
1022,BROOKLYN,916.0,41.0
1023,BROOKLYN,263.0,41.0
1024,BROOKLYN,481.0,149.0
1025,BROOKLYN,269.0,130.0
1026,BROOKLYN,421.0,3.0
1027,BROOKLYN,413.0,4.0
1028,BROOKLYN,389.0,3.0
1029,BROOKLYN,437.0,3.0
1030,BROOKLYN,413.0,3.0
1031,BROOKLYN,437.0,3.0
1032,BROOKLYN,431.0,5.0
1033,BROOKLYN,427.0,4.0
1034,BROOKLYN,409.0,3.0
1035,BROOKLYN,435.0,4.0
1036,BROOKLYN,43.0,216.0
1037,BROOKLYN,39.0,84.0
1038,BROOKLYN,361.0,48.0
1039,BROOKLYN,489.0,109.0
1040,BROOKLYN,876.0,
1041,BROOKLYN,437.0,4.0
1042,BROOKLYN,413.0,2.0
1043,BROOKLYN,1196.0,
1044,BROOKLYN,1192.0,46.0
1045,BROOKLYN,211.0,97.0
1046,BROOKLYN,1124.0,86.0
1047,BROOKLYN,141.0,7.0
1048,BROOKLYN,391.0,58.0
1049,BROOKLYN,,158.0
1050,BROOKLYN,1130.0,83.0
1051,BROOKLYN,1130.0,26.0
1052,BROOKLYN,1130.0,167.0
1053,BROOKLYN,1130.0,58.0
1054,BROOKLYN,,15.0
1055,BROOKLYN,382.0,34.0
1056,BROOKLYN,382.0,416.0
1057,BROOKLYN,277.0,215.0
1058,BROOKLYN,1116.0,5.0
1059,BROOKLYN,1164.0,5.0
1060,BROOKLYN,1196.0,7.0
1061,BROOKLYN,301.0,6.0
1062,BROOKLYN,369.0,8.0
1063,BROOKLYN,367.0,4.0
1064,BROOKLYN,369.0,49.0
1065,BROOKLYN,920.0,103.0
1066,BROOKLYN,281.0,71.0
1067,BROOKLYN,5.01,187.0
1068,BROOKLYN,8100.0,23.0
1069,BROOKLYN,1070.0,196.0
1070,BROOKLYN,1034.0,404.0
1071,BROOKLYN,1034.0,647.0
1072,BROOKLYN,1034.0,437.0
1073,BROOKLYN,413.0,4.0
1074,BROOKLYN,437.0,2.0
1075,BROOKLYN,435.0,5.0
1076,BROOKLYN,916.0,53.0
1077,BROOKLYN,303.0,62.0
1078,BROOKLYN,211.0,100.0
1079,BROOKLYN,347.0,
1080,BROOKLYN,271.0,77.0
1081,BROOKLYN,389.0,58.0
1082,BROOKLYN,369.0,47.0
1083,BROOKLYN,342.0,76.0
1084,BROOKLYN,303.0,
1085,BROOKLYN,1070.0,196.0
1086,BROOKLYN,,77.0
1087,BROOKLYN,21.0,21.0
1088,BROOKLYN,508.04,53.0
1089,BROOKLYN,303.0,474.0
1090,BROOKLYN,1034.0,1395.0
1091,BROOKLYN,,65.0
1092,BROOKLYN,277.0,78.0
1093,BROOKLYN,1208.0,175.0
1094,BROOKLYN,1134.0,97.0
1095,BROOKLYN,382.0,1575.0
1096,BROOKLYN,549.0,32.0
1097,BROOKLYN,1104.0,33.0
1098,BROOKLYN,896.0,160.0
1099,BROOKLYN,1126.0,
1100,BROOKLYN,279.0,23.0
1101,BROOKLYN,375.0,47.0
1102,BROOKLYN,5.01,22.0
1103,Brooklyn,283.0,249.0
1104,BROOKLYN,281.0,10.0
1105,BROOKLYN,0.0,64.0
1106,BROOKLYN,808.0,
1107,BROOKLYN,279.0,69.0
1108,BROOKLYN,882.0,27.0
1109,BROOKLYN,363.0,23.0
1110,BROOKLYN,342.0,194.0
1111,BROOKLYN,231.0,149.0
1112,BROOKLYN,365.02,
1113,BROOKLYN,211.0,78.0
1114,BROOKLYN,1200.0,
1115,BROOKLYN,227.0,59.0
1116,BROOKLYN,916.0,114.0
1117,BROOKLYN,351.0,6.0
1118,BROOKLYN,351.0,4.0
1119,BROOKLYN,427.0,
1120,BROOKLYN,333.0,11.0
1121,Brooklyn,11.0,48.0
1122,BROOKLYN,251.0,
1123,BROOKLYN,916.0,
1124,BROOKLYN,437.0,
1125,Brooklyn,2300.0,55.0
1126,BROOKLYN,445.0,15.0
1127,BROOKLYN,335.0,6.0
1128,BROOKLYN,349.0,4.0
1129,BROOKLYN,508.04,14.0
1130,BROOKLYN,215.0,22.0
1131,BROOKLYN,549.0,25.0
1132,BROOKLYN,892.0,18.0
1133,BROOKLYN,433.0,21.0
1134,BROOKLYN,489.0,
1135,BROOKLYN,525.0,30.0
1136,BROOKLYN,339.0,22.0
1137,BROOKLYN,327.0,53.0
1138,BROOKLYN,277.0,160.0
1139,BROOKLYN,397.0,22.0
1140,BROOKLYN,349.0,55.0
1141,BROOKLYN,427.0,22.0
1142,BROOKLYN,1130.0,
1143,BROOKLYN,41.0,
1144,BROOKLYN,508.03,
1145,MANHATTAN,216.0,56.0
1146,MANHATTAN,189.0,56.0
1147,MANHATTAN,201.02,8.0
1148,MANHATTAN,223.01,58.0
1149,MANHATTAN,174.01,90.0
1150,MANHATTAN,189.0,39.0
1151,MANHATTAN,224.0,99.0
1152,MANHATTAN,259.0,11.0
1153,MANHATTAN,234.0,87.0
1154,MANHATTAN,234.0,31.0
1155,MANHATTAN,208.0,30.0
1156,MANHATTAN,233.0,20.0
1157,MANHATTAN,235.02,45.0
1158,MANHATTAN,183.0,93.0
1159,MANHATTAN,245.0,10.0
1160,MANHATTAN,194.0,15.0
1161,MANHATTAN,235.02,44.0
1162,MANHATTAN,201.02,20.0
1163,MANHATTAN,197.02,31.0
1164,MANHATTAN,218.0,32.0
1165,MANHATTAN,236.0,93.0
1166,MANHATTAN,242.0,40.0
1167,MANHATTAN,200.0,87.0
1168,MANHATTAN,2.02,124.0
1169,MANHATTAN,232.0,76.0
1170,MANHATTAN,219.0,17.0
1171,MANHATTAN,228.0,31.0
1172,MANHATTAN,201.02,16.0
1173,MANHATTAN,216.0,35.0
1174,MANHATTAN,30.02,41.0
1175,MANHATTAN,30.01,48.0
1176,MANHATTAN,190.0,29.0
1177,MANHATTAN,193.0,57.0
1178,MANHATTAN,245.0,32.0
1179,MANHATTAN,236.0,15.0
1180,MANHATTAN,198.0,19.0
1181,MANHATTAN,103.0,638.0
1182,MANHATTAN,245.0,82.0
1183,MANHATTAN,220.0,52.0
1184,MANHATTAN,224.0,19.0
1185,MANHATTAN,188.0,28.0
1186,MANHATTAN,208.0,30.0
1187,MANHATTAN,259.0,25.0
1188,MANHATTAN,235.02,18.0
1189,MANHATTAN,194.0,39.0
1190,MANHATTAN,201.02,46.0
1191,MANHATTAN,236.0,15.0
1192,MANHATTAN,26.02,45.0
1193,MANHATTAN,158.02,105.0
1194,MANHATTAN,2.01,22.0
1195,MANHATTAN,166.0,54.0
1196,MANHATTAN,166.0,51.0
1197,MANHATTAN,30.02,34.0
1198,MANHATTAN,245.0,84.0
1199,MANHATTAN,218.0,27.0
1200,MANHATTAN,201.02,86.0
1201,MANHATTAN,178.0,94.0
1202,MANHATTAN,227.0,34.0
1203,MANHATTAN,208.0,69.0
1204,MANHATTAN,127.0,10.0
1205,MANHATTAN,212.0,30.0
1206,MANHATTAN,208.0,64.0
1207,MANHATTAN,158.02,57.0
1208,MANHATTAN,178.0,59.0
1209,MANHATTAN,178.0,29.0
1210,MANHATTAN,193.0,67.0
1211,MANHATTAN,216.0,52.0
1212,MANHATTAN,111.0,53.0
1213,MANHATTAN,191.0,118.0
1214,MANHATTAN,218.0,18.0
1215,MANHATTAN,26.01,51.0
1216,MANHATTAN,213.03,5.0
1217,MANHATTAN,26.01,22.0
1218,MANHATTAN,178.0,44.0
1219,MANHATTAN,239.0,14.0
1220,MANHATTAN,249.0,12.0
1221,MANHATTAN,234.0,57.0
1222,MANHATTAN,193.0,68.0
1223,MANHATTAN,193.0,41.0
1224,MANHATTAN,,45.0
1225,MANHATTAN,235.01,15.0
1226,MANHATTAN,190.0,27.0
1227,MANHATTAN,119.0,535.0
1228,MANHATTAN,33.0,88.0
1229,MANHATTAN,172.0,18.0
1230,MANHATTAN,257.0,68.0
1231,MANHATTAN,226.0,15.0
1232,MANHATTAN,197.02,33.0
1233,MANHATTAN,237.0,35.0
1234,MANHATTAN,222.0,16.0
1235,MANHATTAN,152.0,55.0
1236,MANHATTAN,99.0,49.0
1237,MANHATTAN,222.0,29.0
1238,MANHATTAN,42.0,93.0
1239,MANHATTAN,223.01,69.0
1240,MANHATTAN,121.0,307.0
1241,MANHATTAN,151.0,200.0
1242,MANHATTAN,172.0,13.0
1243,MANHATTAN,220.0,9.0
1244,MANHATTAN,201.02,5.0
1245,MANHATTAN,212.0,9.0
1246,MANHATTAN,232.0,29.0
1247,MANHATTAN,22.01,35.0
1248,MANHATTAN,166.0,21.0
1249,MANHATTAN,26.02,29.0
1250,MANHATTAN,221.02,40.0
1251,MANHATTAN,220.0,47.0
1252,MANHATTAN,182.0,68.0
1253,MANHATTAN,164.0,76.0
1254,MANHATTAN,233.0,30.0
1255,MANHATTAN,182.0,119.0
1256,MANHATTAN,119.0,262.0
1257,MANHATTAN,216.0,24.0
1258,MANHATTAN,209.01,8.0
1259,MANHATTAN,,13.0
1260,MANHATTAN,208.0,17.0
1261,MANHATTAN,245.0,20.0
1262,MANHATTAN,231.0,52.0
1263,MANHATTAN,146.02,28.0
1264,MANHATTAN,190.0,116.0
1265,MANHATTAN,68.0,50.0
1266,MANHATTAN,220.0,46.0
1267,MANHATTAN,208.0,17.0
1268,MANHATTAN,79.0,30.0
1269,MANHATTAN,215.0,41.0
1270,MANHATTAN,172.0,48.0
1271,MANHATTAN,170.0,20.0
1272,MANHATTAN,115.0,28.0
1273,MANHATTAN,139.0,178.0
1274,MANHATTAN,219.0,7.0
1275,MANHATTAN,236.0,10.0
1276,MANHATTAN,234.0,16.0
1277,MANHATTAN,228.0,8.0
1278,MANHATTAN,145.0,148.0
1279,MANHATTAN,193.0,18.0
1280,MANHATTAN,6.0,98.0
1281,MANHATTAN,230.0,77.0
1282,MANHATTAN,220.0,23.0
1283,MANHATTAN,190.0,6.0
1284,MANHATTAN,190.0,8.0
1285,MANHATTAN,190.0,23.0
1286,MANHATTAN,190.0,30.0
1287,MANHATTAN,230.0,60.0
1288,MANHATTAN,245.0,50.0
1289,MANHATTAN,232.0,6.0
1290,MANHATTAN,259.0,14.0
1291,MANHATTAN,113.0,30.0
1292,MANHATTAN,226.0,9.0
1293,MANHATTAN,218.0,10.0
1294,MANHATTAN,121.0,65.0
1295,MANHATTAN,224.0,25.0
1296,MANHATTAN,125.0,110.0
1297,MANHATTAN,174.01,57.0
1298,MANHATTAN,68.0,310.0
1299,MANHATTAN,206.0,24.0
1300,MANHATTAN,208.0,40.0
1301,MANHATTAN,227.0,27.0
1302,MANHATTAN,180.0,4.0
1303,MANHATTAN,180.0,5.0
1304,MANHATTAN,180.0,3.0
1305,MANHATTAN,180.0,5.0
1306,MANHATTAN,180.0,15.0
1307,MANHATTAN,198.0,5.0
1308,MANHATTAN,198.0,29.0
1309,MANHATTAN,198.0,4.0
1310,MANHATTAN,198.0,3.0
1311,MANHATTAN,182.0,53.0
1312,MANHATTAN,14.02,31.0
1313,MANHATTAN,227.0,34.0
1314,MANHATTAN,,11.0
1315,MANHATTAN,168.0,50.0
1316,MANHATTAN,180.0,29.0
1317,MANHATTAN,180.0,16.0
1318,MANHATTAN,172.0,9.0
1319,MANHATTAN,175.0,264.0
1320,MANHATTAN,38.0,17.0
1321,MANHATTAN,209.01,33.0
1322,MANHATTAN,171.0,18.0
1323,MANHATTAN,235.02,33.0
1324,MANHATTAN,22.02,37.0
1325,MANHATTAN,22.02,7.0
1326,MANHATTAN,196.0,17.0
1327,MANHATTAN,78.0,93.0
1328,MANHATTAN,56.0,333.0
1329,MANHATTAN,28.0,26.0
1330,MANHATTAN,245.0,41.0
1331,MANHATTAN,317.03,81.0
1332,MANHATTAN,32.0,29.0
1333,MANHATTAN,190.0,2.0
1334,MANHATTAN,224.0,7.0
1335,MANHATTAN,230.0,39.0
1336,MANHATTAN,230.0,13.0
1337,MANHATTAN,222.0,15.0
1338,MANHATTAN,178.0,27.0
1339,MANHATTAN,227.0,51.0
1340,MANHATTAN,136.0,36.0
1341,MANHATTAN,232.0,16.0
1342,MANHATTAN,129.0,76.0
1343,MANHATTAN,215.0,28.0
1344,MANHATTAN,173.0,53.0
1345,MANHATTAN,317.03,70.0
1346,MANHATTAN,61.0,52.0
1347,MANHATTAN,230.0,18.0
1348,MANHATTAN,230.0,31.0
1349,MANHATTAN,230.0,13.0
1350,MANHATTAN,230.0,30.0
